title,source_name,publishedAt,cluster,cluster_name,sentiment
The economy keeps adding jobs. Many job seekers still feel stuck.,Business Insider,2026-06-14 09:03:01+00:00,2,AI & Technology,0.5
"Laid off from her dream tech job, woman says it was the best thing that happened to her. 'My hair stopped falling out'",The Times of India,2026-06-12 18:25:56+00:00,3,Global & Policy,1.0
‘We’ve been left to rot’: Inside Britain’s new ‘Bedroom Generation’,Dazed,2026-06-12 10:46:00+00:00,1,Market & Economy,0.06818181818181818
Summer work in short supply for students amid weakened job market,CBC News,2026-06-12 09:00:00+00:00,3,Global & Policy,0.0
"Why AI hasn't replaced software engineers, and won't",Normaltech.ai,2026-06-11 07:51:17+00:00,0,Hiring & Employment,0.0
Republicans move to gut child labor protections,Raw Story,2026-06-10 19:35:36+00:00,1,Market & Economy,0.0
Half Of Americans Now Afraid They’ll Lose Their Jobs To AI,The Daily Caller,2026-06-10 14:46:48+00:00,0,Hiring & Employment,-0.3833333333333333
Increasing Employment in Pre-Retirement Years Slows Cognitive Decline,Nakedcapitalism.com,2026-06-10 13:55:34+00:00,1,Market & Economy,0.0
South Africa’s jobs crisis: what 10 years of tax data tells us,The Conversation Africa,2026-06-10 13:20:17+00:00,2,AI & Technology,0.0
Don’t Blame Old People For American Decline,The New Republic,2026-06-10 10:00:00+00:00,1,Market & Economy,0.05
Expert to Black America: You Can ‘Future-Proof’ Your Job As AI Threatens the Market,The Root,2026-06-10 07:22:33+00:00,3,Global & Policy,-0.16666666666666666
Analysis-China Inc deploys 'quiet' layoffs as Beijing promotes AI adoption,Yahoo Entertainment,2026-06-10 06:16:10+00:00,0,Hiring & Employment,0.0
Meta launches $115M America’s Workforce Academy to train future technicians with guaranteed jobs,Crypto Briefing,2026-06-09 22:36:59+00:00,2,AI & Technology,0.0
Inflation drives rate-cut debate at Warsh's first Fed meeting,TheStreet,2026-06-09 21:17:00+00:00,1,Market & Economy,0.25
"Bay of Plenty records highest unemployment rate in New Zealand, national average dips",New Zealand Herald,2026-06-09 18:00:00+00:00,4,Salary & Growth,-0.0068181818181818205
Global Hiring Outlook Holds Steady in Q3 With Mid-Size Employers Showing Most Optimism,PRNewswire,2026-06-09 13:31:00+00:00,1,Market & Economy,0.2222222222222222
Flexi-staffing industry in India sees 8% YoY growth in new employment in 2025-26: ISF report,The Times of India,2026-06-09 12:55:19+00:00,2,AI & Technology,0.13636363636363635
The man behind Claude Code says you’re comparing AI costs to the wrong thing,Fortune,2026-06-09 10:37:11+00:00,0,Hiring & Employment,-0.45
A Christian response to the crisis facing young people,Christiantoday.com,2026-06-09 09:03:00+00:00,1,Market & Economy,0.05
Indian employers turn cautious over hiring in July-Sep amid global uncertainties: Report,BusinessLine,2026-06-09 08:43:39+00:00,1,Market & Economy,0.0
"What sort of workforce are graduates entering, and what do they need to know?",The Irish Times,2026-06-09 05:01:00+00:00,1,Market & Economy,0.0
Half of graduates earn LESS than the median national wage 5 years after leaving university,Dailymail.com,2026-06-08 21:01:11+00:00,1,Market & Economy,-0.16666666666666666
Conference Board Says Easier Hiring Signals Upcoming Labor Market Weakness,pymnts.com,2026-06-08 18:41:20+00:00,3,Global & Policy,0.0
Trump says Fed rate increase would be wrong after jobs report,Crypto Briefing,2026-06-08 14:38:46+00:00,2,AI & Technology,-0.5
"Her Husband Can't Keep A Job, But They Decided To Buy A House. 'Haven't Even Closed Yet And I Already Know We're Going To Go Into Foreclosure'",Yahoo Entertainment,2026-06-08 13:46:09+00:00,3,Global & Policy,-0.1
"Executives are cutting jobs for an AI future that hasn't fully arrived yet, even as productivity gains remain difficult to prove — data neither confirms nor refutes an AI unemployment apocalypse",Tom's Hardware UK,2026-06-08 11:20:00+00:00,0,Hiring & Employment,-0.3666666666666667
"Sensex today | Stock Market Highlights: Sensex settles at 73,524.26, down 719.08 pts (0.97%); Nifty ends at 23,123, down 243.70 pts (1.04%)",BusinessLine,2026-06-08 10:28:12+00:00,3,Global & Policy,-0.15555555555555559
UK gov's answer to AI job fears: An AI bot to polish your CV,Theregister.com,2026-06-08 10:02:00+00:00,0,Hiring & Employment,0.0
Department of Work and Pensions' answer to AI job fears is a bot to polish your CV,Theregister.com,2026-06-08 10:02:00+00:00,0,Hiring & Employment,0.0
UK's answer to AI job fears is a bot to polish your CV,Theregister.com,2026-06-08 10:02:00+00:00,0,Hiring & Employment,0.0
Apna eyes ₹150 crore revenue from AI-led push for India’s 300 million blue-collar workers,BusinessLine,2026-06-08 06:12:09+00:00,1,Market & Economy,0.0
The 'Living Wage' Attack on Jobs and Prosperity,Reason,2026-06-07 23:34:56+00:00,2,AI & Technology,0.0
"AI and the reinvention of work: Why some sectors are hiring more, not less",Digital Journal,2026-06-07 19:27:18+00:00,0,Hiring & Employment,0.2916666666666667
"US labor market adds 172,000 jobs in May, but job seekers face longer unemployment",Crypto Briefing,2026-06-07 16:43:54+00:00,4,Salary & Growth,0.0
"As firms go AI-native, scrutiny grows over AI-linked job cuts",BusinessLine,2026-06-07 14:50:21+00:00,3,Global & Policy,0.0
Algorithmic Monocultures in Hiring,Github.io,2026-06-07 05:47:02+00:00,1,Market & Economy,0.0
Is Cybersecurity Hard? Honest Career Guide for 2026,Smashingapps.com,2026-06-06 21:54:10+00:00,1,Market & Economy,0.15416666666666665
New U.S. college grads now have higher unemployment than the average worker,Randalolson.com,2026-06-06 20:35:40+00:00,4,Salary & Growth,0.07878787878787878
"Julian Jessop: Weak productivity growth since the financial crisis, the AI revolution will drive economic expansion, and excessive regulation hinders corporate performance | The Peter McCormack Show",Crypto Briefing,2026-06-06 19:16:12+00:00,3,Global & Policy,-0.08499999999999999
"US labor market adds 172,000 jobs in May, nearly doubling expectations",Crypto Briefing,2026-06-06 18:34:31+00:00,4,Salary & Growth,0.1
"US job market adds 172,000 jobs in May as hiring rebounds, rattling crypto markets",Crypto Briefing,2026-06-06 17:48:57+00:00,4,Salary & Growth,0.0
T-Mobile’s hiring efforts take an unexpected turn after layoffs,TheStreet,2026-06-06 17:33:00+00:00,1,Market & Economy,0.1
"Canada adds 87,800 jobs in May as unemployment rate drops to 6.6%",Crypto Briefing,2026-06-06 16:38:52+00:00,4,Salary & Growth,0.0
"Despite a competitive market, finding a summer job is highly beneficial for teens",NPR,2026-06-06 11:48:31+00:00,3,Global & Policy,0.16
Want to switch jobs but can't let go? You might be a job hugger,CBC News,2026-06-06 08:00:00+00:00,2,AI & Technology,0.0
Moving to Canada: Here is what Irish people need to know,The Irish Times,2026-06-06 05:00:00+00:00,1,Market & Economy,0.0
"Breitbart Business Digest: Trump’s Economy Is Cooking—188,000 Jobs, Factories Roaring, Pay Checks Singing",Breitbart News,2026-06-06 00:09:17+00:00,2,AI & Technology,0.0
The job market is much stronger than economists expected. Why?,CBS News,2026-06-05 20:35:17+00:00,3,Global & Policy,0.05
"Strong US job growth beats expectations in May, firming recent gains",Digital Journal,2026-06-05 18:49:49+00:00,3,Global & Policy,0.21666666666666665
"Tech hiring lifts national job growth, demonstrates rising demand for tech talent, CompTIA finds",Associated Press,2026-06-05 16:46:32+00:00,3,Global & Policy,0.0
Wellington employment service Im In on finding the right person for the right job,RNZ,2026-06-05 16:24:30+00:00,1,Market & Economy,0.2857142857142857
"May jobs report crushes expectations with 172,000 new positions, complicating Fed rate cut hopes",Crypto Briefing,2026-06-05 16:02:23+00:00,2,AI & Technology,0.13636363636363635
Job Market Notches Third Straight Month of Solid Growth,Daily Signal,2026-06-05 15:17:21+00:00,3,Global & Policy,0.06666666666666667
Good Careers at Bad Companies,Sharedphysics.com,2026-06-05 15:11:52+00:00,1,Market & Economy,5.551115123125783e-17
Strong US job growth ahead of World Cup,RTE,2026-06-05 14:50:04+00:00,3,Global & Policy,0.4333333333333333
"Tech hiring lifts national job growth, demonstrates rising demand for tech talent, CompTIA finds",PRNewswire,2026-06-05 14:44:00+00:00,3,Global & Policy,0.0
"The U.S. adds 172,000 jobs as the labor market picks up steam",NPR,2026-06-05 14:20:37+00:00,4,Salary & Growth,0.0
Jobs in Hospitality and Healthcare Propelled Hiring in May,The Wall Street Journal,2026-06-05 14:11:00+00:00,2,AI & Technology,0.0
"Jobs report for May pushes US Fed interest rate expectations, yields higher. What does this mean?",The Times of India,2026-06-05 13:56:44+00:00,2,AI & Technology,-0.03125
"US Hiring Surged in May, Boosting Bets on Fed Rate Hike",Financial Post,2026-06-05 13:49:50+00:00,1,Market & Economy,0.0
"US economy blew past expectations to add 172,000 jobs in May",The Irish Times,2026-06-05 13:44:29+00:00,2,AI & Technology,-0.25
"U.S. labor market powers ahead: 172,000 jobs added in May, far surpassing expectations in strong show of American economic resilience",Macdailynews.com,2026-06-05 13:06:05+00:00,3,Global & Policy,0.18333333333333335
Stock markets surge higher as US economy delivers a MASSIVE jobs win in May - and your 401(k) will love it,Dailymail.com,2026-06-05 12:50:12+00:00,2,AI & Technology,0.3875
"Canada Employment Up 87,800, Jobless Rate Falls to 6.6%",Financial Post,2026-06-05 12:48:30+00:00,1,Market & Economy,0.0
U.S. Job Market Smashed Expectations In May—But Fewer Americans Were Working,Forbes,2026-06-05 12:43:28+00:00,3,Global & Policy,0.0
Competitive summer job market for teens,Mankato Free Press,2026-06-05 11:07:49+00:00,3,Global & Policy,0.0
May jobs report expected to show growth in an economy squeezed by inflation,NBC News,2026-06-05 09:00:00+00:00,2,AI & Technology,-0.1
"US job growth likely slowed in May, labor market seen stable despite oil shock",The Times of India,2026-06-05 04:18:00+00:00,3,Global & Policy,0.0
"US jobless aid filings, a proxy for layoffs, hit highest level since Iran war began in February",Midland Reporter-Telegram,2026-06-05 01:15:30+00:00,1,Market & Economy,0.0
The May jobs report will be released Friday. Here's what to expect,CNBC,2026-06-04 19:27:13+00:00,2,AI & Technology,0.0
Survey finds CEOs cutting junior roles to AI: How it impacts IT,Techtarget.com,2026-06-04 15:19:00+00:00,0,Hiring & Employment,-0.6
